Age,Predictions
0-9/0915_2001_06_00000046_F.png,0-9
0-9/0915_2001_06_00000047_F.png,10-19
0-9/0915_2001_06_00000048_F.png,0-9
0-9/0915_2001_06_00000049_F.png,0-9
0-9/0915_2001_06_00000050_F.png,10-19
0-9/0915_2001_07_00000035_D.png,0-9
0-9/0915_2001_08_00000036_D.png,0-9
0-9/0915_2001_09_00000037_D.png,10-19
0-9/0915_2001_09_00000038_D.png,0-9
0-9/0916_1979_02_00000024_F.png,0-9
0-9/0916_1979_03_00000039_F.png,10-19
0-9/0916_1979_04_00000042_F.png,0-9
0-9/0916_1979_05_00000043_F.png,10-19
0-9/0916_1979_06_00000044_F.png,0-9
0-9/0916_1979_06_00000045_F.png,0-9
0-9/0916_1979_07_00000046_F.png,10-19
0-9/0916_1979_07_00000047_F.png,10-19
0-9/0916_1979_08_00000048_F.png,0-9
0-9/0916_1979_08_00000049_F.png,10-19
0-9/0916_1979_09_00000050_F.png,10-19
0-9/0918_1974_01_00000023_F.png,0-9
0-9/0918_1974_02_00000032_F.png,0-9
0-9/0918_1974_03_00000044_F.png,10-19
0-9/0918_1974_04_00000049_F.png,0-9
0-9/0918_1974_05_00000008_F.png,0-9
0-9/0918_1974_07_00000050_F.png,10-19
0-9/0918_1974_09_00000009_F.png,0-9
0-9/0919_1980_02_00000038_F.png,0-9
0-9/0919_1980_05_00000043_F.png,10-19
0-9/0919_1980_06_00000044_F.png,0-9
0-9/0919_1980_06_00000045_F.png,10-19
0-9/0919_1980_06_00000046_F.png,10-19
0-9/0919_1980_07_00000047_F.png,0-9
0-9/0919_1980_07_00000048_F.png,10-19
0-9/0919_1980_07_00000049_F.png,10-19
0-9/0919_1980_08_00000050_F.png,0-9
0-9/0920_1977_04_00000041_F.png,10-19
0-9/0920_1977_05_00000002_F.png,10-19
0-9/0920_1977_06_00000042_F.png,10-19
0-9/0920_1977_07_00000043_F.png,10-19
0-9/0920_1977_08_00000044_F.png,10-19
0-9/0920_1977_08_00000045_F.png,10-19
0-9/0920_1977_08_00000046_F.png,0-9
0-9/0920_1977_09_00000047_F.png,10-19
0-9/0920_1977_09_00000048_F.png,10-19
0-9/0920_1977_09_00000049_F.png,10-19
0-9/0920_1977_09_00000050_F.png,10-19
0-9/0921_1971_04_00000049_F.png,0-9
0-9/0921_1971_05_00000050_F.png,0-9
0-9/0921_1971_06_00000051_F.png,10-19
0-9/0921_1971_09_00000052_F.png,10-19
0-9/0922_1997_01_00000034_F.png,0-9
0-9/0922_1997_01_00000035_F.png,0-9
0-9/0922_1997_01_00000036_F.png,0-9
0-9/0922_1997_01_00000037_F.png,0-9
0-9/0922_1997_01_00000038_F.png,0-9
0-9/0922_1997_01_00000039_F.png,0-9
0-9/0922_1997_01_00000040_F.png,0-9
0-9/0922_1997_01_00000041_F.png,0-9
0-9/0922_1997_02_00000042_F.png,0-9
0-9/0922_1997_02_00000043_F.png,0-9
0-9/0922_1997_03_00000044_F.png,10-19
0-9/0922_1997_03_00000045_F.png,0-9
0-9/0922_1997_04_00000046_F.png,0-9
0-9/0922_1997_04_00000047_F.png,0-9
0-9/0922_1997_05_00000048_F.png,0-9
0-9/0922_1997_06_00000049_F.png,20-25
0-9/0922_1997_06_00000050_F.png,10-19
0-9/0922_1997_07_00000030_D.png,10-19
0-9/0922_1997_09_00000031_D.png,20-25
0-9/0922_1997_09_00000032_D.png,10-19
0-9/0922_1997_09_00000033_D.png,10-19
0-9/0923_1975_01_00000017_F.png,0-9
0-9/0923_1975_03_00000043_F.png,0-9
0-9/0923_1975_06_00000047_F.png,10-19
0-9/0923_1975_08_00000048_F.png,0-9
0-9/0923_1975_08_00000049_F.png,10-19
0-9/0923_1975_09_00000050_F.png,10-19
0-9/0924_2002_03_00000042_F.png,0-9
0-9/0924_2002_04_00000043_F.png,0-9
0-9/0924_2002_06_00000044_F.png,0-9
0-9/0924_2002_06_00000045_F.png,0-9
0-9/0924_2002_07_00000046_F.png,0-9
0-9/0924_2002_07_00000047_F.png,0-9
0-9/0924_2002_07_00000048_F.png,0-9
0-9/0924_2002_07_00000049_F.png,10-19
0-9/0924_2002_08_00000050_F.png,10-19
0-9/0925_2003_01_00000001_F.png,0-9
0-9/0925_2003_01_00000002_F.png,0-9
0-9/0925_2003_01_00000003_F.png,0-9
0-9/0925_2003_01_00000004_F.png,0-9
0-9/0925_2003_02_00000028_F.png,0-9
0-9/0925_2003_02_00000029_F.png,0-9
0-9/0925_2003_03_00000030_F.png,0-9
0-9/0925_2003_03_00000031_F.png,0-9
0-9/0925_2003_03_00000032_F.png,0-9
0-9/0925_2003_03_00000033_F.png,0-9
0-9/0925_2003_04_00000034_F.png,0-9
0-9/0925_2003_04_00000035_F.png,0-9
0-9/0925_2003_04_00000036_F.png,0-9
0-9/0925_2003_04_00000037_F.png,0-9
0-9/0925_2003_05_00000038_F.png,0-9
0-9/0925_2003_05_00000039_F.png,0-9
0-9/0925_2003_06_00000040_F.png,0-9
0-9/0925_2003_06_00000041_F.png,0-9
0-9/0925_2003_07_00000042_F.png,0-9
0-9/0925_2003_08_00000043_F.png,10-19
0-9/0925_2003_08_00000044_F.png,0-9
0-9/0925_2003_09_00000045_F.png,10-19
0-9/0926_1974_05_00000050_F.png,10-19
0-9/0927_1989_01_00000014_F.png,0-9
0-9/0927_1989_02_00000050_F.png,0-9
0-9/0927_1989_02_00000051_F.png,0-9
0-9/0927_1989_02_00000052_F.png,0-9
0-9/0927_1989_03_00000053_F.png,0-9
0-9/0927_1989_03_00000054_F.png,0-9
0-9/0927_1989_03_00000055_F.png,0-9
0-9/0927_1989_04_00000056_F.png,0-9
0-9/0927_1989_04_00000057_F.png,0-9
0-9/0927_1989_07_00000059_F.png,10-19
0-9/0927_1989_08_00000061_F.png,0-9
0-9/0927_1989_08_00000063_F.png,10-19
0-9/0927_1989_08_00000065_F.png,0-9
0-9/0927_1989_08_00000066_F.png,10-19
0-9/0927_1989_08_00000067_F.png,0-9
0-9/0927_1989_08_00000068_F.png,0-9
0-9/0927_1989_08_00000069_F.png,0-9
0-9/0927_1989_09_00000070_F.png,10-19
0-9/0928_1981_01_00000031_F.png,0-9
0-9/0928_1981_02_00000041_F.png,0-9
0-9/0928_1981_03_00000045_F.png,10-19
0-9/0928_1981_04_00000046_F.png,0-9
0-9/0928_1981_05_00000047_F.png,0-9
0-9/0928_1981_05_00000048_F.png,0-9
0-9/0928_1981_06_00000049_F.png,0-9
0-9/0928_1981_07_00000050_F.png,10-19
0-9/0929_2003_01_00000001_D.png,0-9
0-9/0929_2003_01_00000002_D.png,0-9
0-9/0929_2003_01_00000003_D.png,0-9
0-9/0929_2003_01_00000004_D.png,0-9
0-9/0929_2003_01_00000005_D.png,0-9
0-9/0929_2003_01_00000006_D.png,0-9
0-9/0929_2003_01_00000007_D.png,0-9
0-9/0929_2003_01_00000008_D.png,10-19
0-9/0929_2003_02_00000040_D.png,0-9
0-9/0929_2003_03_00000049_D.png,10-19
0-9/0929_2003_04_00000050_D.png,0-9
0-9/0930_1982_01_00000021_F.png,0-9
0-9/0930_1982_01_00000022_F.png,0-9
0-9/0930_1982_02_00000032_F.png,0-9
0-9/0930_1982_02_00000033_F.png,0-9
0-9/0930_1982_02_00000034_F.png,0-9
0-9/0930_1982_03_00000039_F.png,0-9
0-9/0930_1982_03_00000040_F.png,10-19
0-9/0930_1982_03_00000041_F.png,0-9
0-9/0930_1982_03_00000042_F.png,10-19
0-9/0930_1982_03_00000043_F.png,0-9
0-9/0930_1982_03_00000044_F.png,0-9
0-9/0930_1982_04_00000046_F.png,0-9
0-9/0930_1982_04_00000047_F.png,0-9
0-9/0930_1982_05_00000048_F.png,10-19
0-9/0930_1982_06_00000049_F.png,10-19
0-9/0930_1982_07_00000050_F.png,0-9
0-9/0931_1994_04_00000042_F.png,0-9
0-9/0931_1994_06_00000043_F.png,0-9
0-9/0931_1994_06_00000044_F.png,0-9
0-9/0931_1994_07_00000045_F.png,0-9
0-9/0931_1994_08_00000046_F.png,10-19
0-9/0931_1994_08_00000047_F.png,0-9
0-9/0931_1994_08_00000048_F.png,10-19
0-9/0931_1994_09_00000049_F.png,0-9
0-9/0931_1994_09_00000050_F.png,0-9
0-9/0932_1988_01_00000025_F.png,0-9
0-9/0932_1988_01_00000026_F.png,0-9
0-9/0932_1988_02_00000042_F.png,0-9
0-9/0932_1988_03_00000045_F.png,0-9
0-9/0932_1988_04_00000047_F.png,0-9
0-9/0932_1988_05_00000048_F.png,10-19
0-9/0932_1988_06_00000049_F.png,0-9
0-9/0932_1988_07_00000050_F.png,0-9
0-9/0932_1988_07_00000051_F.png,0-9
0-9/0932_1988_08_00000052_F.png,10-19
0-9/0932_1988_08_00000053_F.png,0-9
0-9/0932_1988_09_00000054_F.png,10-19
0-9/0933_1984_01_00000023_F.png,0-9
0-9/0933_1984_01_00000024_F.png,0-9
0-9/0933_1984_02_00000038_F.png,0-9
0-9/0933_1984_03_00000043_F.png,10-19
0-9/0933_1984_04_00000045_F.png,0-9
0-9/0933_1984_05_00000046_F.png,0-9
0-9/0933_1984_05_00000047_F.png,0-9
0-9/0933_1984_06_00000048_F.png,0-9
0-9/0933_1984_08_00000049_F.png,10-19
0-9/0933_1984_09_00000050_F.png,0-9
0-9/0934_1960_01_00000027_F.png,0-9
0-9/0934_1960_03_00000040_F.png,10-19
0-9/0935_1954_04_00000038_F.png,0-9
0-9/0935_1954_08_00000050_F.png,10-19
0-9/0937_1999_01_00000028_F.png,0-9
0-9/0937_1999_01_00000029_F.png,0-9
0-9/0937_1999_01_00000030_F.png,0-9
0-9/0937_1999_01_00000031_F.png,0-9
0-9/0937_1999_02_00000035_F.png,0-9
0-9/0937_1999_02_00000036_F.png,0-9
0-9/0937_1999_03_00000039_F.png,0-9
0-9/0937_1999_03_00000040_F.png,0-9
0-9/0937_1999_03_00000041_F.png,0-9
0-9/0937_1999_04_00000042_F.png,10-19
0-9/0937_1999_04_00000043_F.png,0-9
0-9/0937_1999_04_00000044_F.png,10-19
0-9/0937_1999_05_00000045_F.png,0-9
0-9/0937_1999_05_00000046_F.png,0-9
0-9/0937_1999_05_00000047_F.png,0-9
0-9/0937_1999_05_00000048_F.png,0-9
0-9/0937_1999_05_00000049_F.png,0-9
0-9/0937_1999_07_00000050_F.png,10-19
0-9/0938_1980_02_00000044_F.png,0-9
0-9/0938_1980_03_00000045_F.png,10-19
0-9/0938_1980_03_00000046_F.png,0-9
0-9/0938_1980_03_00000047_F.png,0-9
0-9/0938_1980_04_00000048_F.png,10-19
0-9/0938_1980_06_00000049_F.png,0-9
0-9/0938_1980_07_00000050_F.png,10-19
0-9/0939_1974_01_00000015_F.png,0-9
0-9/0939_1974_02_00000029_F.png,0-9
0-9/0939_1974_07_00000047_F.png,10-19
0-9/0939_1974_08_00000048_F.png,10-19
0-9/0939_1974_08_00000049_F.png,10-19
0-9/0939_1974_09_00000050_F.png,10-19
0-9/0940_1979_01_00000028_F.png,10-19
0-9/0940_1979_04_00000047_F.png,0-9
0-9/0940_1979_05_00000048_F.png,10-19
0-9/0940_1979_06_00000049_F.png,10-19
0-9/0940_1979_09_00000050_F.png,10-19
0-9/0941_1995_02_00000041_F.png,0-9
0-9/0941_1995_04_00000042_F.png,0-9
0-9/0941_1995_04_00000043_F.png,0-9
0-9/0941_1995_04_00000044_F.png,0-9
0-9/0941_1995_04_00000045_F.png,0-9
0-9/0941_1995_04_00000046_F.png,0-9
0-9/0941_1995_07_00000047_F.png,0-9
0-9/0941_1995_07_00000048_F.png,0-9
0-9/0941_1995_07_00000049_F.png,0-9
0-9/0941_1995_07_00000050_F.png,0-9
0-9/0942_1984_01_00000021_F.png,0-9
0-9/0942_1984_02_00000035_F.png,10-19
0-9/0942_1984_03_00000044_F.png,0-9
0-9/0942_1984_04_00000045_F.png,0-9
0-9/0942_1984_05_00000046_F.png,0-9
0-9/0942_1984_06_00000047_F.png,10-19
0-9/0942_1984_06_00000048_F.png,0-9
0-9/0942_1984_08_00000049_F.png,0-9
0-9/0942_1984_09_00000050_F.png,10-19
0-9/0943_1965_01_00000034_F.png,0-9
0-9/0944_1971_01_00000034_F.png,0-9
0-9/0944_1971_02_00000039_F.png,0-9
0-9/0944_1971_03_00000048_F.png,0-9
0-9/0944_1971_05_00000049_F.png,10-19
0-9/0944_1971_07_00000050_F.png,0-9
0-9/0945_1995_01_00000022_F.png,0-9
0-9/0945_1995_02_00000037_F.png,0-9
0-9/0945_1995_02_00000038_F.png,0-9
0-9/0945_1995_03_00000039_F.png,0-9
0-9/0945_1995_03_00000040_F.png,0-9
0-9/0945_1995_04_00000041_F.png,0-9
0-9/0945_1995_04_00000042_F.png,0-9
0-9/0945_1995_05_00000043_F.png,0-9
0-9/0945_1995_05_00000044_F.png,0-9
0-9/0945_1995_06_00000045_F.png,0-9
0-9/0945_1995_06_00000046_F.png,0-9
0-9/0945_1995_06_00000047_F.png,0-9
0-9/0945_1995_07_00000048_F.png,0-9
0-9/0945_1995_08_00000049_F.png,0-9
0-9/0945_1995_09_00000050_F.png,10-19
0-9/0946_1973_01_00000022_F.png,0-9
0-9/0946_1973_01_00000023_F.png,0-9
0-9/0946_1973_02_00000038_F.png,10-19
0-9/0946_1973_09_00000058_F.png,10-19
0-9/0947_1983_01_00000020_F.png,0-9
0-9/0947_1983_02_00000032_F.png,0-9
0-9/0947_1983_03_00000038_F.png,0-9
0-9/0947_1983_04_00000042_F.png,0-9
0-9/0947_1983_05_00000044_F.png,0-9
0-9/0947_1983_05_00000045_F.png,0-9
0-9/0947_1983_06_00000046_F.png,0-9
0-9/0947_1983_06_00000047_F.png,0-9
0-9/0947_1983_07_00000048_F.png,0-9
0-9/0947_1983_08_00000049_F.png,10-19
0-9/0947_1983_09_00000050_F.png,0-9
0-9/0948_2000_01_00000031_F.png,0-9
0-9/0948_2000_01_00000032_F.png,0-9
0-9/0948_2000_02_00000040_F.png,0-9
0-9/0948_2000_02_00000041_F.png,0-9
0-9/0948_2000_03_00000042_F.png,0-9
0-9/0948_2000_04_00000043_F.png,0-9
0-9/0948_2000_05_00000044_F.png,0-9
0-9/0948_2000_06_00000045_F.png,0-9
0-9/0948_2000_06_00000046_F.png,0-9
0-9/0948_2000_07_00000047_F.png,10-19
0-9/0948_2000_07_00000048_F.png,0-9
0-9/0948_2000_08_00000049_F.png,0-9
0-9/0948_2000_09_00000050_F.png,10-19
0-9/0949_1998_01_00000025_F.png,0-9
0-9/0949_1998_01_00000026_F.png,0-9
0-9/0949_1998_01_00000027_F.png,0-9
0-9/0949_1998_02_00000035_F.png,0-9
0-9/0949_1998_02_00000036_F.png,0-9
0-9/0949_1998_03_00000037_F.png,0-9
0-9/0949_1998_03_00000038_F.png,0-9
0-9/0949_1998_03_00000039_F.png,0-9
0-9/0949_1998_04_00000040_F.png,0-9
0-9/0949_1998_05_00000041_F.png,0-9
0-9/0949_1998_05_00000042_F.png,0-9
0-9/0949_1998_05_00000043_F.png,0-9
0-9/0949_1998_06_00000044_F.png,0-9
0-9/0949_1998_07_00000045_F.png,0-9
0-9/0949_1998_07_00000046_F.png,0-9
0-9/0949_1998_07_00000047_F.png,0-9
0-9/0949_1998_07_00000048_F.png,10-19
0-9/0949_1998_08_00000049_F.png,0-9
0-9/0949_1998_09_00000050_F.png,0-9
0-9/0950_1996_01_00000001_F.png,0-9
0-9/0950_1996_02_00000002_F.png,0-9
0-9/0950_1996_02_00000003_F.png,0-9
0-9/0950_1996_03_00000004_F.png,0-9
0-9/0950_1996_03_00000005_F.png,0-9
0-9/0950_1996_04_00000037_F.png,10-19
0-9/0950_1996_04_00000038_F.png,0-9
0-9/0950_1996_05_00000039_F.png,0-9
0-9/0950_1996_05_00000040_F.png,0-9
0-9/0950_1996_05_00000041_F.png,0-9
0-9/0950_1996_05_00000042_F.png,0-9
0-9/0950_1996_05_00000043_F.png,0-9
0-9/0950_1996_05_00000044_F.png,0-9
0-9/0950_1996_06_00000045_F.png,10-19
0-9/0950_1996_06_00000046_F.png,0-9
0-9/0950_1996_06_00000047_F.png,0-9
0-9/0950_1996_08_00000048_F.png,0-9
0-9/0950_1996_09_00000049_F.png,10-19
0-9/0950_1996_09_00000050_F.png,0-9
0-9/0951_1986_01_00000020_F.png,0-9
0-9/0951_1986_01_00000052_F.png,0-9
0-9/0951_1986_02_00000038_F.png,0-9
0-9/0951_1986_02_00000039_F.png,0-9
0-9/0951_1986_03_00000041_F.png,0-9
0-9/0951_1986_03_00000042_F.png,0-9
0-9/0951_1986_04_00000043_F.png,10-19
0-9/0951_1986_04_00000044_F.png,0-9
0-9/0951_1986_05_00000045_F.png,10-19
0-9/0951_1986_05_00000046_F.png,10-19
0-9/0951_1986_06_00000047_F.png,0-9
0-9/0951_1986_07_00000048_F.png,10-19
0-9/0951_1986_07_00000049_F.png,0-9
0-9/0951_1986_09_00000050_F.png,10-19
0-9/0952_1980_02_00000043_F.png,10-19
0-9/0952_1980_02_00000044_F.png,0-9
0-9/0952_1980_03_00000045_F.png,10-19
0-9/0952_1980_04_00000046_F.png,10-19
0-9/0952_1980_04_00000047_F.png,0-9
0-9/0952_1980_05_00000048_F.png,0-9
0-9/0952_1980_06_00000049_F.png,10-19
0-9/0952_1980_08_00000050_F.png,10-19
0-9/0953_1977_02_00000037_F.png,0-9
0-9/0954_1972_01_00000020_F.png,0-9
0-9/0954_1972_05_00000048_F.png,10-19
0-9/0954_1972_09_00000049_F.png,10-19
0-9/0954_1972_09_00000050_F.png,0-9
0-9/0955_1980_01_00000027_F.png,0-9
0-9/0955_1980_03_00000045_F.png,0-9
0-9/0955_1980_04_00000046_F.png,0-9
0-9/0955_1980_05_00000047_F.png,0-9
0-9/0955_1980_05_00000048_F.png,0-9
0-9/0955_1980_06_00000049_F.png,0-9
0-9/0955_1980_08_00000050_F.png,0-9
0-9/0956_1986_01_00000032_F.png,0-9
0-9/0956_1986_02_00000044_F.png,0-9
0-9/0956_1986_03_00000045_F.png,0-9
0-9/0956_1986_04_00000046_F.png,10-19
0-9/0956_1986_05_00000047_F.png,0-9
0-9/0956_1986_06_00000048_F.png,10-19
0-9/0956_1986_08_00000049_F.png,0-9
0-9/0956_1986_09_00000050_F.png,10-19
0-9/0957_1985_01_00000043_F.png,0-9
0-9/0957_1985_01_00000045_F.png,0-9
0-9/0957_1985_01_00000046_F.png,0-9
0-9/0957_1985_03_00000064_F.png,0-9
0-9/0957_1985_03_00000065_F.png,0-9
0-9/0957_1985_05_00000070_F.png,0-9
0-9/0957_1985_08_00000073_F.png,0-9
0-9/0957_1985_08_00000074_F.png,10-19
0-9/0958_1982_02_00000027_F.png,0-9
0-9/0958_1982_02_00000028_F.png,0-9
0-9/0958_1982_03_00000039_F.png,0-9
0-9/0958_1982_04_00000041_F.png,0-9
0-9/0958_1982_04_00000042_F.png,0-9
0-9/0958_1982_05_00000043_F.png,0-9
0-9/0958_1982_06_00000044_F.png,10-19
0-9/0958_1982_06_00000045_F.png,0-9
0-9/0958_1982_07_00000046_F.png,0-9
0-9/0958_1982_08_00000047_F.png,0-9
0-9/0958_1982_08_00000048_F.png,0-9
0-9/0958_1982_09_00000049_F.png,0-9
0-9/0958_1982_09_00000050_F.png,10-19
0-9/0959_1963_01_00000030_F.png,0-9
0-9/0959_1963_09_00000050_F.png,0-9
0-9/0960_1978_04_00000045_F.png,0-9
0-9/0960_1978_04_00000046_F.png,0-9
0-9/0960_1978_04_00000047_F.png,10-19
0-9/0960_1978_05_00000048_F.png,10-19
0-9/0960_1978_05_00000049_F.png,0-9
0-9/0960_1978_06_00000050_F.png,0-9
0-9/0961_1978_01_00000016_F.png,0-9
0-9/0961_1978_02_00000030_F.png,0-9
0-9/0961_1978_03_00000043_F.png,0-9
0-9/0961_1978_04_00000045_F.png,0-9
0-9/0961_1978_05_00000046_F.png,10-19
0-9/0961_1978_06_00000047_F.png,0-9
0-9/0961_1978_07_00000048_F.png,0-9
0-9/0961_1978_08_00000049_F.png,10-19
0-9/0961_1978_09_00000050_F.png,10-19
0-9/0962_1977_01_00000017_F.png,0-9
0-9/0962_1977_01_00000018_F.png,0-9
0-9/0962_1977_05_00000046_F.png,10-19
0-9/0962_1977_06_00000047_F.png,0-9
0-9/0962_1977_07_00000048_F.png,10-19
0-9/0962_1977_08_00000049_F.png,10-19
0-9/0962_1977_09_00000050_F.png,10-19
0-9/0963_1979_01_00000026_F.png,0-9
0-9/0963_1979_01_00000027_F.png,0-9
0-9/0963_1979_01_00000028_F.png,0-9
0-9/0963_1979_02_00000037_F.png,0-9
0-9/0963_1979_02_00000038_F.png,0-9
0-9/0963_1979_03_00000043_F.png,10-19
0-9/0963_1979_04_00000044_F.png,10-19
0-9/0963_1979_04_00000045_F.png,10-19
0-9/0963_1979_05_00000046_F.png,10-19
